Name	inHouse_ID
TMAO	cnic_1
TMA	cnic_2
phenylalanocholic acid	cnic_3
tyrosocholic acid	cnic_4
leucocholic acid	cnic_5
acetate	cnic_6
Propionate	cnic_7
Butyrate	cnic_8
Indoxylsulfate	cnic_9
indole-3-propionate	cnic_10
Phenylacetate	cnic_11
Phenylpyruvate	cnic_12
Phenyllactate	cnic_13
Phenylacrylate	cnic_14
Phenylpropionate	cnic_15
4-hydroxyphenylacetate	cnic_16
4-hydroxyphenylpyruvate	cnic_17
4-hydroxyphenyllactate	cnic_18
4-hydroxyphenylacrylate	cnic_19
3-Hydroxyphenylpropionic acid	cnic_20
4-hydroxyphenylpropionate	cnic_21
hydroxyphenylacetate	cnic_22
hydroxyphenylpyruvate	cnic_23
hydroxyphenyllactate	cnic_24
hydroxyphenylacrylate	cnic_25
hydroxyphenylpropionate	cnic_26
Indoleacetate	cnic_27
Indolepyruvate	cnic_28
Indolelactate	cnic_29
Indoleacrylate	cnic_30
Indolepropionate	cnic_31
hydrocinnamic acid	cnic_32
p-cresyl sulphate 	cnic_33
p-cresol	cnic_34
N,N,N-trimethyl-5-aminovaleric acid	cnic_35
trimethyl-aminovaleric acid	cnic_36
Imidazole propionate	cnic_37
secondary bile acids	cnic_38
hippurate	cnic_39
Hippuric acid	cnic_40
Hydroxyindole	cnic_41
indoxyl	cnic_42
Trihydroxycholanoic acid	cnic_43
Ursocholic acid	cnic_44
Murocholic acid	cnic_45
Hyodeoxycholic acid	cnic_46
Hydroxy oxocholanoate	cnic_47
Oxocholenoate	cnic_48
Lithocholic acid	cnic_49
deoxycholic acid	cnic_50
Choladienoate	cnic_51
Isolithocholate	cnic_52
Isolithocholic acid	cnic_53
beta-Lithocholic acid	cnic_54
beta-Lithocholanic acid	cnic_55
3-Epilithocholic acid	cnic_56
3beta-Hydroxy-5beta-cholan-24-oic acid	cnic_57
Allocholic acid	cnic_58
Allocholate	cnic_59
3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholanoic acid	cnic_60
Hyodeoxycholate	cnic_61
Hyodesoxycholic acid	cnic_62
6alpha-Hydroxylithocholate	cnic_63
Iodeoxycholic acid	cnic_64
3alpha,6alpha-Dihydroxy-5beta-cholanic acid	cnic_65
Lithocholate	cnic_66
3alpha-Hydroxy-5beta-cholanate	cnic_67
3alpha-Hydroxy-5beta-cholanic acid	cnic_68
Ursocholate	cnic_69
3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid	cnic_70
3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid	cnic_71
7beta-Hydroxyisocholic acid	cnic_72
7-Epicholic acid	cnic_73
Allodeoxycholate	cnic_74
5alpha-Deoxycholic acid	cnic_75
3alpha,12alpha-Dihydroxy-5alpha-cholanoic acid	cnic_76
Isochenodeoxycholate	cnic_77
Isochenodeoxycholic acid	cnic_78
3beta,7alpha-Dihydroxy-5beta-cholanic acid	cnic_79
alpha-Muricholate	cnic_80
alpha-Muricholic acid	cnic_81
5beta-Cholanic acid-3alpha,6beta,7alpha-triol	cnic_82
3alpha,6beta,7alpha-Trihydroxy-5beta-cholan-24-oic acid	cnic_83
Ursodiol	cnic_84
Ursodeoxycholic acid	cnic_85
Ursodeoxycholate	cnic_86
3alpha,7beta-Dihydroxy-5beta-cholan-24-oic acid	cnic_87
Bitocholate	cnic_88
Bitocholic acid	cnic_89
3beta,12alpha-Dihydroxy-5beta-cholanoate	cnic_90
3beta,12alpha-Dihydroxy-5beta-cholanoic acid	cnic_91
beta-Muricholate	cnic_92
beta-Muricholic acid	cnic_93
3alpha,6beta,7beta-Trihydroxy-5beta-cholan-24-oic acid	cnic_94
5beta-Cholanic acid-3alpha,6beta,7beta-triol	cnic_95
Vulpecholate	cnic_96
Vulpecholic acid	cnic_97
1alpha,3alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid	cnic_98
Chenodeoxycholate	cnic_99
Chenodeoxycholic acid	cnic_100
3alpha,7alpha-Dihydroxy-5beta-cholanic acid	cnic_101
Chenodiol	cnic_102
omega-Muricholate	cnic_103
omega-Muricholic acid	cnic_104
Hyocholate	cnic_105
Hyocholic acid	cnic_106
Iocholic acid	cnic_107
gamma-Muricholate	cnic_108
alpha-Hyocholic acid	cnic_109
3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid	cnic_110
6alpha-Hydroxychenodeoxycholic acid	cnic_111
Isoursodeoxycholate	cnic_112
Isoursodeoxycholic acid	cnic_113
3beta,7beta-Dihydroxy-5beta-cholanoic acid	cnic_114
3beta,7beta-Dihydroxy-5beta-cholan-24-oic acid	cnic_115
Murideoxycholic acid	cnic_116
Murideoxycholate	cnic_117
6beta-Hydroxylithocholate	cnic_118
3alpha,6beta-Dihydroxy-5beta-cholanic acid	cnic_119
